Energy_Level,MPS_LOBPCG_12,ThreeTree_LOBPCG_12,LeafOnly_LOBPCG_12,Fork3_LOBPCG_12,Fork4_LOBPCG_12,Fork6_LOBPCG_12,T3NS_LOBPCG_12,MPS_II_20,ThreeTree_II_20,LeafOnly_II_20,Fork3_II_20,Fork4_II_20,Fork6_II_20,T3NS_II_20,Ref
0,9837.432795140703,9837.431244588144,9837.423877958805,9837.430899204839,9837.422154526535,9837.422123514436,9837.444373576991,9837.40723054343,9837.407455934324,9837.406612805344,9837.407447607462,9837.406931076639,9837.406732790603,9837.412699236129,9837.4069
1,361.00095646390037,360.9975443547246,361.0032563870591,360.9974837938116,360.99443978076306,360.9975442299874,361.0038622254815,360.9910230642563,360.9906422733766,360.99075822413397,360.9906369647597,360.99057895178885,360.99060961733085,360.9942221322872,360.99
2,361.0018983818645,360.9977375321141,361.0046305933429,360.99839570552103,360.9953125591037,360.997780913367,361.0059592358266,360.99111863046346,360.99070490323174,360.99081478848166,360.9908070487527,360.9906442640513,360.9906251072807,360.9959085454284,360.99
3,723.206985321005,723.203656055708,723.2020669085778,723.2037063482676,723.1899328032287,723.1980533404876,723.2130750836659,723.1814434385105,723.1810256732533,723.1817603284435,723.1810152352045,723.1807767324917,723.1807699213932,723.1883919542524,723.179
4,723.2103023609998,723.2050035190932,723.2022708091117,723.2051019930877,723.1911358743637,723.1981138492356,723.2156335831296,723.1814975712296,723.1810528616825,723.1817978912695,723.1812289291083,723.1808632934644,723.1807863300892,723.1885550313782,723.179
5,723.9211246427367,723.9032390156135,723.8616267077396,723.9058770864922,723.896722170477,723.9003688116554,723.9667558686724,723.8322298206222,723.8289465743146,723.827876944395,723.8290458955707,723.8288561813442,723.8300531368877,723.8396080512284,723.825
6,900.6768221655238,900.6729727988768,900.6783986923074,900.6712379134951,900.6730770571194,900.6689701168034,900.6930857773641,900.6642749472794,900.6600653714104,900.6581037823598,900.6604897271118,900.6646323576279,900.6617735446725,900.6674086716193,900.659
7,1034.1592221473493,1034.1678388382588,1034.1653933690704,1034.1651420624476,1034.1610097258454,1034.1526751526417,1034.1654249525182,1034.1267828047912,1034.125705787028,1034.111225377963,1034.1224266131903,1034.1255677818754,1034.1256460243767,1034.131329883874,1034.124
8,1034.1597442410002,1034.1729241732555,1034.1674828530831,1034.1706515512105,1034.1675345224685,1034.1533320295512,1034.1728454720342,1034.1271488216917,1034.1262999166684,1034.1245547730014,1034.1261766461703,1034.1258331777553,1034.1257668603612,1034.1342092597515,1034.124
9,1086.592657985475,1086.5917327626394,1086.5880210715022,1086.591778668726,1086.5693095944407,1086.5810897705796,1086.6006609584765,1086.5552471141982,1086.5545932379391,1086.5554708073214,1086.5545949297793,1086.554145615526,1086.554132346946,1086.5625381702812,1086.552
10,1086.5951219145682,1086.5926883832526,1086.5880787392143,1086.5922378881878,1086.5697604825054,1086.581398978191,1086.6016336599168,1086.5558364566277,1086.5546966632555,1086.5557877972242,1086.554792217432,1086.5546634998009,1086.5545185908195,1086.564751089927,1086.552
11,1087.9715987455202,1087.9389638754074,1087.8739348635754,1087.9378733286921,1087.9210496422493,1087.9324914782883,1088.055519714304,1087.7867664960595,1087.7807019701468,1087.777283435129,1087.7807651901749,1087.780148584572,1087.7826326091163,1087.7961850225038,1087.774
12,1087.9768847416763,1087.9408242227928,1087.8757086079513,1087.9407163229916,1087.92810998789,1087.9335682792043,1088.0898147100597,1087.7868275568635,1087.7808173770463,1087.7826996299154,1087.7809640714531,1087.780262712531,1087.7826658633858,1087.7963058910627,1087.774
13,1259.8154081362609,1259.8184804838074,1259.8284084200113,1259.8209585630666,1259.813228637744,1259.8174019842918,1259.7410723822286,1259.8223420395916,1259.8136915366995,1259.8109573693491,1259.8128065457931,1259.818573204133,1259.8166453447302,1259.8317491085381,1259.809
14,1259.8229496988206,1259.8197027361985,1259.8354805422787,1259.8222224265683,1259.8208047658518,1259.8189163043153,1259.8351611205271,1259.822776832616,1259.8140117832372,1259.8120506402156,1259.8140310897288,1259.8193437151422,1259.8421701878688,1259.8325318841253,1259.809
15,1389.4011876369404,1389.2483005340273,1389.2511080393506,1389.239289633133,1389.3037860583408,1389.2956603136008,1389.4655847592567,1389.0279250599706,1388.9943876871803,1389.0332737185272,1388.9981328805825,1388.992673695464,1389.0004815551765,1389.0500248981934,1388.967
16,1394.941132333839,1394.9452624819478,1395.085929101937,1394.9491218453586,1394.9471997582878,1394.8110820618513,1394.9530522922705,1394.6999322482097,1394.697726466,1394.7621622324732,1394.6965343685824,1394.6941958752977,1394.6869844284447,1394.7080245219422,1394.679
17,1394.9475588559799,1394.9501821494796,1395.1182949170216,1394.9601128616941,1394.957265789044,1394.8130129322526,1394.9911183287695,1394.7142994936748,1394.707555269295,1394.7657762437775,1394.6970667718633,1394.694548708907,1394.6872432092587,1394.7094179983615,1394.679
18,1395.0322783018364,1395.0409463268606,1395.1833700100997,1395.0370618760644,1395.0873171192725,1394.9423005077315,1395.0761292340976,1394.883932967954,1394.8925549924043,1394.943179326563,1394.9070064092557,1394.9039917669033,1394.9016150523985,1394.918133923573,1394.898
19,1398.0900972478157,1397.9619679557327,1398.0112805573444,1397.9586463577125,1398.015771777973,1397.99765639434,1398.18613323116,1397.7498689383483,1397.7176112353281,1397.7629600748387,1397.7173817293497,1397.7079279604077,1397.72140531506,1397.775496025708,1397.68
20,1451.1475700287046,1451.1470392314623,1451.142847968651,1451.147044341098,1451.118533337576,1451.1324006536797,1451.1522208496135,1451.0973227879385,1451.0962107057967,1451.097344522168,1451.096430504187,1451.0958681623706,1451.0957237860075,1451.1062476574552,1451.093
21,1451.1476319678168,1451.147084261247,1451.1458856317895,1451.1474009342837,1451.1188062483216,1451.1326425269654,1451.155199406805,1451.0973842795793,1451.0966574894628,1451.0975561264768,1451.0965179643117,1451.0960059635781,1451.0957726425167,1451.1064569648752,1451.093
22,1453.15019149832,1453.1288608005034,1453.0166242924024,1453.1478604629083,1453.1308962728435,1453.1275597511121,1453.3549513662329,1452.838647738201,1452.8296821698932,1452.8220151100631,1452.8298999774925,1452.828443731427,1452.8324955782937,1452.8497200016118,1452.818
23,1453.1588545003451,1453.1384772904767,1453.0186517200473,1453.154522486524,1453.1390737913916,1453.1311572110426,1453.3747364389037,1452.838839854463,1452.8301793699939,1452.8221325947798,1452.829947397775,1452.8292378171172,1452.8325674449588,1452.850283359894,1452.818
24,1453.7830959627845,1453.7607907756628,1453.624764494587,1453.7751383768154,1453.7637646450094,1453.7526577570043,1454.1101232693964,1453.4177300603624,1453.4076585989806,1453.398169608121,1453.4074538819968,1453.4051860270483,1453.409347294939,1453.42984635243,1453.394
25,1483.2528232903114,1483.1702837634348,1483.1566054436553,1483.1740815102403,1483.1366973581244,1483.1691130127347,1483.1812853930405,1483.2249467038291,1483.227089275928,1483.2225764181476,1483.2310994232248,1483.2142192632637,1483.2183025656086,1483.1717410767087,1483.219
26,1483.266959790917,1483.1732012766788,1483.1603397620947,1483.1775551869032,1483.1530724432032,1483.1706781700486,1483.245255369171,1483.2265040827588,1483.2530752560706,1483.2229254494177,1483.2618968795232,1483.221257701758,1483.2219585507246,1483.2304123746508,1483.22
27,1620.2004417759763,1620.1884381511409,1620.2193153626267,1620.1776859080655,1620.1661332339754,1620.1759270088005,1620.0860329581137,1620.2224104068991,1620.210154630331,1620.2024995762422,1620.2104112414672,1620.2194698113726,1620.2135419577062,1620.2346749845692,1620.199
28,1620.206250888099,1620.1958967566643,1620.2257566040753,1620.1795894644292,1620.167050827804,1620.1810115845547,1620.1334621481765,1620.222791096463,1620.210163370235,1620.202663005217,1620.210547644163,1620.2201488268965,1620.21360424661,1620.2359250947793,1620.199
29,1621.1449441776822,1621.0925868680606,1621.0379936012123,1621.1043621920653,1621.0416154768045,1621.0882803122677,1620.8888065707579,1620.7877042492382,1620.7699712846825,1620.746321947574,1620.7719536298682,1620.7764127269693,1620.778085519949,1620.8028610432266,1620.744
30,1750.1519416694518,1749.9850098661755,1749.9210259573028,1749.9758325818711,1749.9952131478713,1750.007869819232,1750.1748764358363,1749.6222976182253,1749.558570706402,1749.6181064901975,1749.577025622808,1749.5669923433488,1749.5789964711803,1749.6201833249434,1749.519
31,1750.1690020952774,1749.99068323336,1749.9280491009667,1749.98538037244,1750.01714868198,1750.0153729634967,1750.1853028509613,1749.6253918468446,1749.6026001225418,1749.6295678309907,1749.5860728624084,1749.5826672791354,1749.5813763645183,1749.6420190789777,1749.519
32,1756.9331180641657,1756.9379007963344,1757.070802335782,1756.9365756306051,1756.930853347456,1756.6806911050953,1756.9355178806309,1756.4512838592545,1756.4498941328657,1756.569349037305,1756.4510517641029,1756.446143343359,1756.4268633765496,1756.4544876220625,1756.412
33,1756.9555767352595,1756.958117834707,1757.1252532453454,1756.9641807878688,1756.983165548496,1756.7036404999599,1756.958624487268,1756.451850410267,1756.4528641164743,1756.5862373438358,1756.4534517595985,1756.4509125591594,1756.4272649595896,1756.4551691542474,1756.412
34,1757.5606846001156,1757.5446693792674,1757.6421843169283,1757.573064452119,1757.5411748117112,1757.4159713578902,1757.5691614341722,1757.166084387216,1757.1526634174388,1757.228966708908,1757.1531474970616,1757.1431780747007,1757.140477593488,1757.1695607923302,1757.119
35,1757.5658691611316,1757.5890459998136,1757.6516521172452,1757.6016794302323,1757.5657558316634,1757.4203591763671,1757.58790093668,1757.1666286847703,1757.1592193501565,1757.231018443841,1757.1622121817345,1757.1525904350074,1757.1409785225514,1757.1708646091392,1757.119
36,1760.4268072363975,1760.28727797604,1760.263475105321,1760.3221598097043,1760.3038850442954,1760.2447018774565,1760.4962667552245,1759.881070737145,1759.8378507628986,1759.886828975641,1759.8367019922316,1759.820447666425,1759.8330655144855,1759.9042555005362,1759.76
37,1760.4635842422886,1760.3300840338761,1760.2866830031708,1760.3379216698413,1760.3229750989376,1760.2622488339966,1760.5304331939951,1759.883899103148,1759.8400856059925,1759.8914132363243,1759.8392538302924,1759.8205858387919,1759.8397817675486,1759.910110524721,1759.76
38,1785.0276602470076,1785.0244067576004,1785.047212637577,1785.0094199970881,1785.082743962561,1785.0074549531564,1785.0727543352896,1785.135771187035,1785.125478844282,1785.1200057842834,1785.1261495945819,1785.13829630924,1785.1289923017957,1785.146884245769,1785.177
39,1816.8554171294345,1816.857877481145,1816.8511898852648,1816.8576545158157,1816.8235422974667,1816.83810208893,1816.865681326928,1816.7921328358825,1816.7909655150452,1816.7923392756056,1816.7910066090735,1816.7900766629136,1816.7901493074532,1816.8023700330796,1816.786
40,1816.8557702010403,1816.8589415422066,1816.8531691324188,1816.8588318009279,1816.8237643069242,1816.8390744978042,1816.8674745660883,1816.7921423951066,1816.7910745415084,1816.7923836498358,1816.7910674377235,1816.7903265232435,1816.7903170245645,1816.8024005721218,1816.786
41,1819.5468684543048,1819.52326892346,1819.3625242265553,1819.5416664182358,1819.4927681107401,1819.509743467479,1819.8226761426085,1818.9679384263763,1818.9570021166965,1818.943236277919,1818.9570418267795,1818.9548130164894,1818.9593352498778,1818.9797864091452,1818.938
42,1819.5500285275994,1819.5331417363122,1819.3820271803143,1819.5543215717444,1819.499502690216,1819.52177552176,1819.8551764863732,1818.9681644709362,1818.9573290011958,1818.9461208898865,1818.9570490020942,1818.954962941967,1818.9594682426814,1818.9820126648392,1818.939
43,1820.7552197675614,1820.7491426797187,1820.5185445890202,1820.7490903318521,1820.7202254006752,1820.7650404737124,1820.9860157812127,1820.0493276185534,1820.0353925222116,1820.0206510949556,1820.0361457156669,1820.0335076755018,1820.037492872827,1820.0663546232918,1820.016
44,1820.7670218599433,1820.7642877763465,1820.520473346207,1820.756590670937,1820.7564630350553,1820.766752263904,1821.2428544611648,1820.05047837032,1820.0377427488165,1820.020659165204,1820.0378109572266,1820.0340318785584,1820.0396858580043,1820.0671919152664,1820.016
45,1844.499159993029,1844.47984508236,1844.4446868400282,1844.4947154976326,1844.364542349269,1844.3875033993954,1844.5578478666193,1844.3236066213667,1844.3214596873568,1844.3410901539628,1844.322734423371,1844.2553178200833,1844.289634813851,1844.3305479014798,1844.245
46,1844.6624781407718,1844.6824984494433,1844.610783977194,1844.688783883612,1844.4767902504627,1844.5303205696146,1844.7184397316578,1844.4078651317723,1844.4150401902298,1844.3675340851823,1844.408825219436,1844.3282367494849,1844.375174562887,1844.3998018780603,1844.316
47,1844.6697161577886,1844.8078279310666,1844.6216977668573,1844.807715790581,1844.5138543686135,1844.6041426242155,1844.7237381062168,1844.410387322885,1844.4168114356762,1844.4149341265456,1844.4097411630355,1844.33142975404,1844.388064362105,1844.4579852935312,1844.317
48,1844.9926385356648,1845.2058897111147,1844.8756993209226,1845.1992434846215,1844.794715666545,1844.8963812401162,1844.9869193518643,1844.7558946819972,1844.784425632075,1844.7698359330789,1844.7557407452514,1844.6886346053543,1844.721739190687,1844.6284076524626,1844.676
49,1931.5649539540736,1931.5442947172942,1931.5620391033917,1931.5183210302366,1931.546720623588,1931.554110139481,1931.604695544116,1931.5370615598986,1931.5148945049168,1931.5221728396991,1931.5231482805193,1931.5303883561737,1931.5325097013756,1931.548997654132,1931.514
50,1931.587105203418,1931.5687492642319,1931.569817294483,1931.5280061173453,1931.5691205859475,1931.5756709967682,1931.6510720395163,1931.5381440718593,1931.529139098242,1931.522828375928,1931.5399178354673,1931.5307595754803,1931.5397330771557,1931.552521872718,1931.514
51,1981.691678800491,1981.690666882212,1981.759195144874,1981.6627025566086,1981.6894855918563,1981.6650298321183,1981.4688446589516,1981.8499448530583,1981.8372840246648,1981.8210029967377,1981.8368940423898,1981.8433960375314,1981.8388705378984,1981.8661750304473,1981.815
52,1981.701048453986,1981.7014247736952,1981.7779305238237,1981.6843990276138,1981.691930184079,1981.6766312502332,1981.5219643318087,1981.8507830705857,1981.838115647919,1981.8219528969676,1981.8376838522909,1981.8440476178657,1981.8398117095276,1981.8679319084204,1981.815
53,1983.485339979501,1983.4690496324401,1983.3670942370081,1983.4955240295003,1983.38453376924,1983.4454258462301,1983.001257695667,1982.8942242659214,1982.8656020397211,1982.8210683914058,1982.8669640026237,1982.869845170153,1982.878606614864,1982.9075469456002,1982.818
54,1983.510798228157,1983.499281566712,1983.4332808948584,1983.5257241319887,1983.4097755194725,1983.4559834911888,1983.3190510307777,1982.8955450025805,1982.8659118475043,1982.8210781840608,1982.8683942430762,1982.8708235416289,1982.8786266128009,1982.907617451745,1982.818
55,2057.2324443806483,2057.246314839509,2057.2104863314053,2057.244862670177,2057.2736915821806,2057.179993770991,2057.2964673139395,2057.0630712733237,2057.059163695205,2057.0592103465424,2057.060224805471,2057.058538790121,2057.060470897357,2057.0802287810275,2057.044
56,2065.385542822338,2065.39619824333,2065.3772291395744,2065.396811283792,2065.3579208705305,2065.3649907415547,2065.426195046908,2065.276325677016,2065.275484418482,2065.273584099292,2065.2757387743204,2065.2726711319465,2065.273185467491,2065.289571773099,2065.265
57,2065.435568790508,2065.4459139439023,2065.395861362491,2065.4298413232573,2065.510882844934,2065.3670145492724,2065.4991501346103,2065.279523669653,2065.2784180829112,2065.3028121346197,2065.282737489235,2065.2759586267093,2065.27419505547,2065.2922027474833,2065.265
58,2112.2507273090287,2112.0402689488146,2111.9884344983057,2112.0668984101685,2112.054638594105,2112.041926132535,2112.2499097856,2111.534974310378,2111.492815915961,2111.537305289281,2111.489204596848,2111.464835389861,2111.4608579077612,2111.515113980018,2111.364
59,2112.2724607192195,2112.0738743699385,2111.995508019887,2112.079414369344,2112.065414167877,2112.0554052845637,2112.2969824695774,2111.553482028172,2111.4936865811796,2111.537929938353,2111.4895265743,2111.4749314698292,2111.4611057416387,2111.52623578943,2111.364
60,2113.6719801503004,2113.340266076033,2113.049320300046,2113.2855808319982,2113.2537628914088,2113.1833620680427,2113.443228810269,2112.4956723368996,2112.4448439072403,2112.432416046402,2112.4494513363697,2112.3967540797166,2112.422337507558,2112.4956027978224,2112.281
61,2120.1157634264564,2120.0774636613896,2120.2297820096555,2120.1217956338933,2120.1156426423113,2119.760682731323,2120.058789012004,2119.3584289770297,2119.3583973795576,2119.5156010028695,2119.3590222948314,2119.3534692428057,2119.329246804853,2119.3621006102276,2119.307
62,2120.1215242986746,2120.0950144802846,2120.2483167247337,2120.1251134780414,2120.132883005228,2119.784167203039,2120.063610299092,2119.358966692833,2119.3595925985355,2119.5170019393136,2119.3616018309567,2119.356599996603,2119.329513323217,2119.3629798054553,2119.307
63,2121.4609532829,2121.4299466678276,2121.503047815473,2121.4585863073844,2121.495480540476,2121.2059693298197,2121.4659393265338,2120.642970723884,2120.6471500837397,2120.708364210306,2120.6415377259327,2120.632289576959,2120.594837982271,2120.6392899575767,2120.521
64,2121.488647748776,2121.4719432079037,2121.553388919059,2121.53769785262,2121.55732016388,2121.224239090663,2121.4867348364314,2120.653055262421,2120.6506165298433,2120.7201965971926,2120.655169777441,2120.646195088417,2120.6029112380184,2120.64548678103,2120.521
