Method,Tree_Type,Bond_Dimension,Num_States,Mean_Error,Median_Error,Max_Error,Min_Error,Std_Error,Mean_Relative_Error,Runtime
lobpcg,MPS,12,84,0.3793625350216809,0.2508435900672339,1.4514849660417894,-0.4299850066004183,0.4206798889316784,0.02009735687974339,647.1755631309989
lobpcg,ThreeTree,12,84,0.34598216851358915,0.2604818535310187,1.3747923135711062,-0.4589240541286017,0.39056641550221555,0.01825324099648961,704.5643727239993
lobpcg,LeafOnly,12,84,0.3316103589222526,0.23191284715915117,1.5102580531188323,-0.38684078178857817,0.3660787134151552,0.017441725561736315,1602.9696702499994
lobpcg,Fork3,12,84,0.35458392227287,0.27120573924571545,1.437032552400069,-0.5197670416150686,0.41000828748136614,0.018669655856539236,957.1049349199993
lobpcg,Fork4,12,84,0.33015898294435225,0.19661767462139323,1.3724476357551794,-0.3383549036957447,0.3942176376215684,0.017322367933816463,1231.5405813989992
lobpcg,Fork6,12,84,0.2977955399356117,0.20547481015307767,1.4307672005675158,-0.4784097001306691,0.3681136686651519,0.01563951713264427,1775.1545489310017
lobpcg,T3NS,12,84,0.4356630655385778,0.3066735077206886,1.989720803680484,-0.3461553410484157,0.49579432724430256,0.023184724372435864,1268.8461506610013
ii,MPS,20,84,0.04770680051833037,0.029551448656206958,0.24915064997094305,-0.04122881296484593,0.05715299837362676,0.0025043050610536943,1946.0843565249995
ii,ThreeTree,20,84,0.03697818317233522,0.02056763551399854,0.19409606224417075,-0.05175062074931702,0.0478639749142027,0.001915844899328634,2478.9803534549983
ii,LeafOnly,20,84,0.051982096017745845,0.008641864603760041,0.21000193931376998,-0.062517151728116,0.06902982190479813,0.0027199695846031715,7432.547669484008
ii,Fork3,20,84,0.03686776085425928,0.02097833644666025,0.19801813100184518,-0.050850405418032096,0.04698013462498215,0.0019147334028939195,2900.775297916002
ii,Fork4,20,84,0.02627499779389842,0.01575582543694054,0.14950739450705441,-0.04997863693506588,0.03571374967118739,0.0013759751462482863,3527.167695714003
ii,Fork6,20,84,0.03007533949956707,0.020901746279491817,0.1514519400852805,-0.04800769820417372,0.038282691889504276,0.0015768832031671912,5591.586451210006
ii,T3NS,20,84,0.05432090684190679,0.040154140931576876,0.25543343547451514,-0.047592347537374735,0.055430077895732746,0.00293975611366751,5232.780678887019
